player_name,position,team,projected_points,adp
Harrison Bryant,TE,,4.0,631.5
Ian Thomas,TE,LV,4.0,999.0
Sione Vaki,RB,DET,4.0,999.0
Trent Sherfield,WR,BUF,3.9,699.3
Antonio Gibson,RB,,3.9,999.0
Max Bredeson,TE,MIN,3.8,667.3
Anthony Gould,WR,IND,3.2,999.0
Ashton Dulin,WR,IND,3.0,999.0
Skyy Moore,WR,GB,3.0,685.4
DeAndre Hopkins,WR,,2.5,999.0
Jordan Watkins,WR,SF,2.4,999.0
Shane Zylstra,TE,BUF,2.3,999.0
Ko Kieft,TE,TB,2.3,999.0
Chris Manhertz,TE,NYG,2.3,625.3
Donovan Edwards,RB,MIA,2.1,641.8
Gage Larvadain,WR,CLE,1.9,999.0
Feleipe Franks,TE,CAR,1.9,999.0
Robert Tonyan,TE,PIT,1.9,687.9
DeAndre Carter,WR,,1.8,999.0
Jacob Cowing,WR,SF,1.7,999.0
Tyler Conklin,TE,DET,1.7,676.4
LaJohntay Wester,WR,BAL,1.0,999.0
Clyde Edwards-Helaire,RB,,0.8,999.0
Nikko Remigio,WR,KC,0.6,999.0
Sterling Shepard,WR,HOU,0.6,507.0
James Proche,WR,,0.6,999.0
Ben Skowronek,WR,PIT,0.6,667.7
Derius Davis,WR,LAC,-0.9,999.0
Devin Duvernay,WR,ARI,-1.4,999.0
