player_name,position,team,projected_points,adp
Dalton Schultz,TE,HOU,150.9,192.8
Chuba Hubbard,RB,CAR,147.9,76.6
RJ Harvey,RB,DEN,144.1,79.6
Chig Okonkwo,TE,WAS,144.1,188.8
Michael Penix,QB,ATL,143.16,227.9
AJ Barner,TE,SEA,142.4,183.9
Oronde Gadsden,TE,LAC,141.8,129.7
Juwan Johnson,TE,NO,140.9,188.5
Rashid Shaheed,WR,SEA,138.1,146.9
Aaron Jones,RB,MIN,137.1,124.4
Dallas Goedert,TE,PHI,136.0,123.8
Blake Corum,RB,LAR,135.3,103.8
Denzel Boston,WR,CLE,134.7,167.3
Chris Rodriguez,RB,JAX,132.5,139.5
Malik Washington,WR,MIA,131.3,174.6
Jalen Nailor,WR,LV,130.6,185.6
Gunnar Helm,TE,TEN,130.3,233.1
De'Zhaun Stribling,WR,SF,128.4,138.6
Pat Freiermuth,TE,PIT,128.4,239.9
Rachaad White,RB,WAS,128.1,132.1
Jacory Croskey-Merritt,RB,WAS,127.9,114.1
Jalen McMillan,WR,TB,127.4,209.4
Omar Cooper,WR,NYJ,127.1,193.7
Tre Tucker,WR,LV,125.9,202.3
Kayshon Boutte,WR,HOU,125.2,223.7
Darren Waller,TE,CAR,122.6,999.0
Cade Otton,TE,TB,122.3,234.1
Ryan Flournoy,WR,DAL,121.2,230.7
Jerry Jeudy,WR,CLE,119.6,191.4
Brandon Aubrey,K,DAL,116.0,93.1
Tyjae Spears,RB,TEN,114.6,165.2
Ka'imi Fairbairn,K,HOU,113.0,131.2
Tre' Harris,WR,LAC,112.9,230.0
Cam Little,K,JAX,112.0,135.6
Tyrone Tracy,RB,NYG,111.3,166.8
Jordyn Tyson,WR,NO,111.0,90.7
Jason Myers,K,SEA,111.0,125.1
Greg Dulcich,TE,MIA,110.9,229.7
Devaughn Vele,WR,NO,110.6,239.8
Will Reichard,K,MIN,109.0,171.1
Chris Boswell,K,PIT,107.0,158.5
Keenan Allen,WR,IND,106.8,199.1
Tyler Loop,K,BAL,106.0,179.5
Los Angeles Rams,DEF,LAR,106.0,88.4
Evan McPherson,K,CIN,106.0,181.1
Harrison Mevis,K,LAR,106.0,150.1
Cameron Dicker,K,LAC,106.0,118.3
Jauan Jennings,WR,MIN,105.7,198.4
Malachi Fields,WR,NYG,105.2,219.7
Jake Bates,K,DET,105.0,139.5
Chase McLaughlin,K,TB,105.0,222.1
Mike Gesicki,TE,CIN,104.9,999.0
Ja'Kobi Lane,WR,BAL,104.9,157.6
Houston Texans,DEF,HOU,104.0,97.6
Tyler Bass,K,BUF,103.0,299.0
Seattle Seahawks,DEF,SEA,103.0,104.7
Rashod Bateman,WR,BAL,102.3,232.7
Deshaun Watson,QB,CLE,102.06,999.0
Eddy Pineiro,K,SF,101.0,194.1
Travis Hunter,WR,JAX,100.6,167.2
Terrance Ferguson,TE,LAR,100.3,206.5
Kenyon Sadiq,TE,NYJ,100.2,154.0
Cairo Santos,K,CHI,100.0,232.5
Wil Lutz,K,DEN,100.0,253.3
Harrison Butker,K,KC,100.0,176.1
Blake Grupe,K,IND,99.0,999.0
Germie Bernard,WR,PIT,98.9,229.8
Adonai Mitchell,WR,NYJ,98.3,230.6
Philadelphia Eagles,DEF,PHI,98.0,125.6
Ted Hurst,WR,TB,97.9,239.6
Mike Washington,RB,LV,97.5,172.9
Shedeur Sanders,QB,CLE,97.12,236.1
Keaton Mitchell,RB,LAC,96.9,184.3
Pat Bryant,WR,DEN,96.4,227.2
Mason Taylor,TE,NYJ,96.4,224.3
Denver Broncos,DEF,DEN,96.0,118.5
Andy Borregales,K,NE,96.0,156.7
Baltimore Ravens,DEF,BAL,95.0,136.0
Nick Folk,K,ATL,95.0,285.5
Caleb Douglas,WR,MIA,94.8,213.2
Cyrus Allen,WR,KC,94.5,174.5
Tyreek Hill,WR,,93.7,211.0
Tua Tagovailoa,QB,ATL,92.96,236.5
Ryan Fitzgerald,K,CAR,92.0,347.0
Daniel Carlson,K,NO,92.0,999.0
Tory Horton,WR,SEA,92.0,228.7
Minnesota Vikings,DEF,MIN,92.0,151.3
Detroit Lions,DEF,DET,92.0,153.6
New England Patriots,DEF,NE,92.0,137.6
Andrei Iosivas,WR,CIN,91.3,999.0
Jason Sanders,K,NYJ,91.0,999.0
Jacksonville Jaguars,DEF,JAX,91.0,169.8
Jake Elliott,K,PHI,90.0,216.1
Chimere Dike,WR,TEN,89.4,229.4
Chad Ryland,K,ARI,89.0,350.0
Dylan Sampson,RB,CLE,88.7,190.5
Pittsburgh Steelers,DEF,PIT,88.0,162.0
Isaac TeSlaa,WR,DET,87.1,225.9
Kansas City Chiefs,DEF,KC,87.0,226.3
Cooper Kupp,WR,SEA,86.4,220.6
New York Giants,DEF,NYG,86.0,238.6
Los Angeles Chargers,DEF,LAC,86.0,180.0
Green Bay Packers,DEF,GB,86.0,201.2
Dallas Cowboys,DEF,DAL,86.0,200.6
Keon Coleman,WR,BUF,85.8,234.8
Jaylin Noel,WR,HOU,85.2,213.7
Darnell Washington,TE,PIT,85.1,999.0
Chicago Bears,DEF,CHI,85.0,221.9
Buffalo Bills,DEF,BUF,84.0,215.7
Andre Szmyt,K,CLE,84.0,342.0
San Francisco 49ers,DEF,SF,84.0,218.3
Indianapolis Colts,DEF,IND,84.0,219.0
Joey Slye,K,TEN,84.0,351.0
Woody Marks,RB,HOU,83.8,160.2
Atlanta Falcons,DEF,ATL,83.0,228.4
Eli Stowers,TE,PHI,81.4,238.9
Tampa Bay Buccaneers,DEF,TB,81.0,232.4
Carolina Panthers,DEF,CAR,81.0,238.4
Michael Mayer,TE,LV,80.8,999.0
DeMario Douglas,WR,NE,80.4,999.0
Cole Kmet,TE,CHI,79.7,999.0
Cincinnati Bengals,DEF,CIN,79.0,241.2
Zachariah Branch,WR,ATL,78.5,195.6
