player_name,position,team,projected_points,consensus_projection,floor_points,ceiling_points,ds_value,games_played,strength_of_schedule,injury_risk_pct,adp
Juwan Johnson,TE,NO,157,151,136.2,197.3,2,17,-0.1,45.0,154
Jacory Croskey-Merritt,RB,WAS,156,141,126.0,269.1,17,17,4.2,30.0,113
Tyler Loop,K,BAL,153,150,140.8,179.0,4,17,-1.6,0.0,178
De'Zhaun Stribling,WR,SF,153,144,136.0,276.6,7,17,-3.2,0.0,130
Eddy Pineiro,K,SF,153,145,145.4,174.4,3,17,2.0,0.0,179
Cairo Santos,K,CHI,153,147,143.7,175.8,3,17,-1.1,0.0,229
Dalton Schultz,TE,HOU,152,140,136.7,188.3,-3,17,0.5,57.0,188
Chuba Hubbard,RB,CAR,152,148,127.7,275.1,17,17,-6.0,36.0,89
Evan McPherson,K,CIN,151,139,145.2,177.0,3,17,0.7,0.0,197
Cam Little,K,JAC,151,147,145.2,180.0,4,17,-0.7,0.0,150
Jalen McMillan,WR,TB,151,120,128.6,260.2,3,17,2.6,39.0,183
Kenneth Gainwell,RB,TB,151,158,134.4,262.7,17,17,-2.2,31.0,105
Harrison Mevis,K,LAR,150,158,145.1,175.0,1,17,0.7,0.0,163
Keenan Allen,WR,IND,150,127,131.7,260.5,3,17,-0.8,49.0,192
Jake Bates,K,DET,150,154,146.6,175.0,2,17,4.2,8.0,168
Hunter Henry,TE,NE,150,145,133.3,197.7,-1,17,-3.5,47.0,157
Jason Myers,K,SEA,150,165,147.0,175.5,2,17,1.0,0.0,143
Trey Smack,K,GB,150,145,141.3,175.9,1,17,0.6,0.0,245
Jalen Coker,WR,CAR,150,151,136.1,257.3,3,17,-1.3,18.0,141
Kyle Monangai,RB,CHI,149,142,132.8,264.1,16,17,-3.6,0.0,97
Tre Tucker,WR,LVR,149,133,126.8,240.1,-1,17,-5.0,0.0,176
Rachaad White,RB,WAS,149,139,120.8,259.4,16,17,4.2,39.0,116
Wil Lutz,K,DEN,148,135,144.9,171.6,-1,17,-3.5,0.0,268
Harrison Butker,K,KC,148,144,145.0,170.2,-1,17,0.1,0.0,195
Denzel Boston,WR,CLE,148,138,130.0,261.5,2,17,4.3,42.0,156
Will Reichard,K,MIN,148,142,144.9,174.5,0,17,1.0,0.0,206
T.J. Hockenson,TE,MIN,147,138,132.4,188.4,-5,17,2.0,51.0,165
Andres Borregales,K,NE,146,137,141.8,168.1,-4,17,0.2,0.0,208
Chase McLaughlin,K,TB,145,143,140.2,167.6,-5,17,5.0,0.0,241
Chris Boswell,K,PIT,144,140,141.3,168.7,-5,17,-2.9,0.0,215
Aaron Jones,RB,MIN,143,141,114.2,246.9,14,17,-0.1,65.0,122
Blake Corum,RB,LAR,141,132,129.7,272.0,16,17,6.4,33.0,103
Chigoziem Okonkwo,TE,WAS,141,133,130.9,195.7,-4,17,-3.0,22.0,171
Adonai Mitchell,WR,NYJ,141,114,121.6,257.3,-1,17,-1.0,28.0,220
Dominic Zvada,K,NYG,141,95,134.0,191.8,-1,17,0.2,0.0,375
Kenyon Sadiq,TE,NYJ,140,132,125.8,204.0,-4,17,-1.5,24.0,170
Calvin Ridley,WR,TEN,140,116,111.9,244.8,-4,17,5.0,48.0,226
Noah Brown,WR,UNS,138,16,111.8,289.3,3,16,,0.0,712
Woody Marks,RB,HOU,138,116,124.1,267.5,15,17,2.0,0.0,136
Jerry Jeudy,WR,CLE,136,123,115.7,245.1,-5,17,4.3,32.0,175
Jalen Nailor,WR,LVR,136,120,115.5,241.9,-5,17,-5.0,0.0,172
Zach Charbonnet,RB,SEA,134,140,70.9,212.6,13,10,5.6,37.0,135
Omar Cooper Jr.,WR,NYJ,131,105,112.3,262.6,-4,17,-1.0,38.0,191
Jauan Jennings,WR,MIN,130,112,114.4,250.9,-6,17,4.9,33.0,174
Terrance Ferguson,TE,LAR,129,125,116.4,209.6,-4,17,-2.2,0.0,198
Jaylin Noel,WR,HOU,126,112,108.3,251.9,-7,17,4.4,19.0,244
Dylan Sampson,RB,CLE,126,97,109.8,233.5,11,17,0.6,34.0,169
Kayshon Boutte,WR,HOU,125,91,110.0,250.0,-8,17,4.4,0.0,228
Houston Texans,DEF,HOU,125,110,112.3,139.8,9,17,-4.0,0.0,273
Pat Bryant,WR,DEN,124,92,109.4,258.5,-7,17,-2.5,65.0,216
Denver Broncos,DEF,DEN,122,106,104.7,133.9,7,17,6.2,0.0,439
Seattle Seahawks,DEF,SEA,120,109,102.2,132.2,6,17,-4.2,0.0,145
Keaton Mitchell,RB,LAC,116,91,99.7,255.1,10,17,0.6,33.0,153
Isiah Pacheco,RB,DET,116,102,84.6,237.7,8,17,0.9,36.0,155
Green Bay Packers,DEF,GB,114,92,104.5,136.3,5,17,-2.2,0.0,250
Baltimore Ravens,DEF,BAL,114,102,105.7,134.2,4,17,13.1,0.0,211
New England Patriots,DEF,NE,114,95,99.4,129.2,3,17,0.2,0.0,209
Pittsburgh Steelers,DEF,PIT,112,103,104.4,132.5,4,17,12.2,0.0,201
Minnesota Vikings,DEF,MIN,111,104,103.6,133.7,4,17,-12.4,0.0,173
Alvin Kamara,RB,NO,109,102,76.6,225.7,5,16,1.8,39.0,151
Chris Rodriguez,RB,JAC,107,110,98.4,252.4,9,17,0.9,27.0,137
Los Angeles Rams,DEF,LAR,107,104,100.7,130.4,1,17,-5.0,0.0,144
Jacksonville Jaguars,DEF,JAC,107,95,98.7,127.7,-1,17,-2.7,0.0,181
New York Giants,DEF,NYG,107,91,99.1,131.1,0,17,-7.9,0.0,334
Los Angeles Chargers,DEF,LAC,106,103,99.7,131.6,0,17,0.4,0.0,177
Kansas City Chiefs,DEF,KC,106,85,96.4,122.8,-3,17,2.1,0.0,256
Detroit Lions,DEF,DET,106,103,98.6,133.6,0,17,10.7,0.0,184
Philadelphia Eagles,DEF,PHI,106,97,101.0,137.1,2,17,-14.5,0.0,225
Buffalo Bills,DEF,BUF,106,98,98.5,127.1,-2,17,0.4,0.0,264
