player_name,position,team,projected_points,source_count,sigma_cross,adp,adp_local,adp_global,ecr,floor_points,ceiling_points
Malik Nabers,WR,NYG,238.64499999999998,4,7.934840368064547,28.1,27.6,28.1,23.0,191.6,340.6
Javonte Williams,RB,DAL,237.125,4,17.97968181957993,34.8,34.3,34.8,43.0,209.1,307.7
Kyren Williams,RB,LAR,236.575,4,15.29255674067181,26.6,29.4,26.6,41.0,205.0,302.8
Aaron Rodgers,QB,PIT,235.70499999999998,4,36.09874455342365,170.3,228.8,170.3,209.0,252.9,384.5
Geno Smith,QB,NYJ,232.375,4,7.834744731004325,173.5,,173.5,212.0,214.4,387.3
Travis Etienne,RB,NO,232.29000000000002,4,15.486346674840183,41.7,44.6,41.7,45.0,209.5,314.3
Tee Higgins,WR,CIN,229.55,4,10.20751357252751,36.3,34.5,36.3,36.0,217.0,302.3
Tetairoa McMillan,WR,CAR,228.15,4,6.094464701678079,39.6,37.1,39.6,34.0,198.7,290.2
Jaylen Waddle,WR,DEN,223.8,4,10.406729793744047,41.0,46.1,41.0,33.0,199.4,300.3
D'Andre Swift,RB,CHI,223.56,4,7.85613984940017,46.5,54.2,46.5,53.0,190.6,298.2
Emeka Egbuka,WR,TB,223.5,4,13.337314509800434,42.1,39.3,42.1,40.0,189.4,298.6
Cam Skattebo,RB,NYG,221.55,4,14.865291789938068,43.1,43.9,43.1,59.0,175.5,301.8
Ladd McConkey,WR,LAC,220.635,4,4.215672148859139,37.5,38.1,37.5,32.0,194.3,295.9
Davante Adams,WR,LAR,218.675,4,16.12148540509424,53.9,50.2,53.9,49.0,188.9,290.2
Luther Burden,WR,CHI,215.5,4,9.389574005246459,56.5,52.4,56.5,46.0,189.1,300.3
Jameson Williams,WR,DET,213.63,4,5.724645549435064,60.5,58.5,60.5,54.0,184.9,279.5
Colston Loveland,TE,CHI,213.375,4,14.920197440606028,41.1,40.2,41.1,35.0,197.3,288.7
Bucky Irving,RB,TB,212.25,4,9.406933613032459,48.0,41.7,48.0,60.0,183.7,297.7
Terry McLaurin,WR,WAS,211.815,4,3.5620534807888533,53.5,55.5,53.5,47.0,190.9,288.5
Mike Evans,WR,SF,210.51999999999998,4,17.4637262155971,64.4,61.9,64.4,55.0,176.3,296.1
Quinshon Judkins,RB,CLE,209.29500000000002,4,16.854970335186003,53.8,53.5,53.8,61.0,181.8,292.9
Jacoby Brissett,QB,ARI,208.365,4,40.07293631617229,170.0,243.0,170.0,179.0,194.2,357.7
Rome Odunze,WR,CHI,206.95,4,4.625281072540355,60.7,65.2,60.7,57.0,181.3,296.7
Tyler Warren,TE,IND,206.39999999999998,4,11.403985779834466,52.1,47.2,52.1,51.0,184.1,267.1
Parker Washington,WR,JAX,205.2,4,12.98994867836924,67.6,76.1,67.6,63.0,175.5,274.9
David Montgomery,RB,HOU,204.95,4,5.059390608890891,50.1,49.0,50.1,62.0,177.6,295.4
DJ Moore,WR,BUF,202.27499999999998,4,14.079972478666281,51.8,57.1,51.8,50.0,175.9,282.7
Fernando Mendoza,QB,LV,201.965,4,44.77203470545722,165.0,181.4,165.0,253.0,178.1,356.2
Christian Watson,WR,GB,200.70499999999998,4,16.26280085553121,65.1,69.2,65.1,58.0,187.9,289.7
Rhamondre Stevenson,RB,NE,199.885,4,18.596313926869122,76.5,81.7,76.5,73.0,174.2,290.4
Harold Fannin,TE,CLE,197.7,4,8.882544680439269,75.4,68.5,75.4,71.0,173.6,250.5
Marvin Harrison,WR,ARI,197.435,4,8.702349778460231,73.6,75.3,73.6,66.0,172.7,276.8
Courtland Sutton,WR,DEN,196.39,4,11.683389919026066,89.8,80.6,89.8,82.0,171.1,264.5
Bhayshul Tuten,RB,JAX,194.655,4,17.593730654222636,58.5,62.0,58.5,65.0,156.9,302.8
Jayden Reed,WR,GB,193.89999999999998,4,10.52332013514113,108.4,111.5,108.4,104.0,164.3,265.3
Jaylen Warren,RB,PIT,191.965,4,12.959085294366526,71.1,72.0,71.1,74.0,160.8,275.3
DK Metcalf,WR,PIT,191.92000000000002,4,10.219633065819925,79.8,74.5,79.8,78.0,174.2,263.4
Sam LaPorta,TE,DET,190.5,4,6.755669224189911,65.7,59.4,65.7,85.0,172.2,254.4
Michael Pittman,WR,PIT,188.9,4,12.826112687274607,102.2,102.6,102.2,80.0,173.4,258.1
TreVeyon Henderson,RB,NE,187.05,4,9.341363212436752,66.1,55.7,66.1,68.0,156.6,304.0
Jadarian Price,RB,SEA,186.485,4,17.487163625547364,60.7,67.4,60.7,70.0,146.1,297.7
Brian Thomas,WR,JAX,185.04500000000002,4,8.344980027936959,80.6,73.5,80.6,79.0,164.5,279.8
Travis Kelce,TE,KC,182.765,4,7.980448504522371,101.4,92.0,101.4,94.0,157.8,220.1
Jordan Addison,WR,MIN,182.39999999999998,4,14.103531472648971,104.1,104.6,104.1,106.0,162.4,266.2
Josh Downs,WR,IND,181.15,4,16.00103824756381,104.6,109.2,104.6,86.0,157.7,266.0
Rico Dowdle,RB,PIT,181.13,4,13.93473717010838,85.4,85.0,85.4,88.0,156.4,278.3
Tucker Kraft,TE,GB,180.66,4,9.388943852567587,69.6,62.3,69.6,81.0,169.5,259.2
Kyle Pitts,TE,ATL,180.2,4,8.123358808604562,75.8,69.6,75.8,77.0,170.8,246.9
Jakobi Meyers,WR,JAX,180.1,4,10.187696828364427,129.6,117.8,129.6,103.0,160.9,261.6
Carnell Tate,WR,TEN,177.865,4,11.899757350467276,73.0,66.5,73.0,67.0,168.5,280.8
George Kittle,TE,SF,177.64,4,9.444792215819259,85.5,89.5,85.5,96.0,141.4,257.4
Chris Godwin,WR,TB,176.915,4,6.846329308468885,87.9,95.5,87.9,72.0,153.4,278.4
Tony Pollard,RB,TEN,176.6,4,11.489677613695987,82.1,83.8,82.1,83.0,150.7,269.9
Stefon Diggs,WR,WAS,175.515,4,14.13277131351102,99.9,110.4,99.9,102.0,154.8,276.0
