player_name,position,team,projected_points,adp,ecr
Khalil Shakir,WR,BUF,164.91,141.8,123
Jonathon Brooks,RB,CAR,164.11,85.5,89
Romeo Doubs,WR,NE,163.73,132.9,126
Josh Downs,WR,IND,163.73,104.6,86
Deebo Samuel Sr.,WR,SF,162.92,133.8,140
RJ Harvey,RB,DEN,162.13,91.4,91
Rachaad White,RB,WAS,161.27,124.5,111
Aaron Jones Sr.,RB,MIN,161.18,120.7,115
De'Zhaun Stribling,WR,SF,160.46,107.5,138
Matthew Golden,WR,GB,160.3,121.7,127
Dalton Kincaid,TE,BUF,160.18,96.4,110
Denzel Boston,WR,CLE,158.05,150.2,145
Jalen Coker,WR,CAR,157.75,135.4,125
Rashid Shaheed,WR,SEA,156.8,142.3,143
Kyle Monangai,RB,CHI,156.24,111.3,116
Jerry Jeudy,WR,CLE,155.52,164.6,161
Juwan Johnson,TE,NO,154.72,152.1,131
Brandon Aubrey,K,DAL,153.03,107.7,178
Hunter Henry,TE,NE,152.92,146.9,155
Brenton Strange,TE,JAX,151.75,153.0,149
Makai Lemon,WR,PHI,150.84,105.9,108
Jason Myers,K,SEA,150.41,138.8,199
Dalton Schultz,TE,HOU,148.35,159.7,151
Calvin Ridley,WR,TEN,148.13,172.5,196
Jacory Croskey-Merritt,RB,WAS,147.39,103.8,113
Jordan Mason,RB,MIN,145.22,103.7,114
Ka'imi Fairbairn,K,HOU,144.06,135.1,192
Cameron Dicker,K,LAC,142.72,134.9,189
Tre Tucker,WR,LV,142.06,159.0,152
Keenan Allen,WR,IND,141.74,157.3,191
T.J. Hockenson,TE,MIN,140.65,160.0,175
Blake Corum,RB,LAR,138.56,100.1,109
Tyjae Spears,RB,TEN,138.09,149.1,135
Harrison Mevis,K,LAR,136.88,157.5,226
Jake Bates,K,DET,135.86,158.6,215
Deshaun Watson,QB,CLE,135.23,,288
Rashod Bateman,WR,BAL,134.27,168.6,219
Pat Freiermuth,TE,PIT,134.13,169.5,228
Jauan Jennings,WR,MIN,134.07,166.4,166
Jalen McMillan,WR,TB,133.83,163.9,165
Greg Dulcich,TE,MIA,133.52,170.2,237
Blake Grupe,K,IND,133.44,,389
Cairo Santos,K,CHI,133.31,164.8,216
Chase McLaughlin,K,TB,132.86,168.9,225
Eddy Pineiro,K,SF,132.62,160.6,205
Tyler Loop,K,BAL,132.05,159.4,204
Harrison Butker,K,KC,131.94,165.4,245
Cam Little,K,JAX,131.47,143.8,197
Will Reichard,K,MIN,130.71,164.0,269
Cade Otton,TE,TB,128.87,173.3,233
Evan McPherson,K,CIN,128.73,166.5,218
Wil Lutz,K,DEN,128.5,169.6,267
Jalen Nailor,WR,LV,127.17,160.2,186
Trey Smack,K,GB,126.35,166.6,361
Chig Okonkwo,TE,WAS,126.15,160.1,150
Devaughn Vele,WR,NO,125.77,168.2,246
Ja'Kobi Lane,WR,BAL,125.67,150.7,231
Kenyon Sadiq,TE,NYJ,125.27,161.5,210
Cooper Kupp,WR,SEA,125.19,166.0,217
AJ Barner,TE,SEA,124.38,163.8,194
Isiah Pacheco,RB,DET,124.36,160.0,158
Woody Marks,RB,HOU,124.31,137.2,133
Tyler Bass,K,BUF,123.58,169.2,359
Zach Charbonnet,RB,SEA,123.08,144.5,147
Terrance Ferguson,TE,LAR,122.76,165.8,200
Kayshon Boutte,WR,HOU,121.71,164.8,170
Nick Folk,K,ATL,121.07,173.6,379
Tua Tagovailoa,QB,ATL,120.91,,270
Houston Texans,DEF,HOU,119.99,116.6,153
Jake Elliott,K,PHI,119.8,170.7,355
Daniel Carlson,K,NO,119.68,,405
Andy Borregales,K,NE,119.38,165.6,229
Tank Dell,WR,HOU,119.32,165.1,214
Michael Penix Jr.,QB,ATL,119.02,,279
Chris Boswell,K,PIT,118.34,162.7,251
Denver Broncos,DEF,DEN,118.24,124.5,162
Alvin Kamara,RB,NO,117.88,155.0,156
Evan Engram,TE,DEN,117.11,,248
Drew Stevens,K,WAS,116.79,,438
Darren Waller,TE,CAR,115.83,169.2,306
Adonai Mitchell,WR,NYJ,114.2,165.4,157
Joey Slye,K,TEN,113.93,,387
Jason Sanders,K,NYJ,113.32,,441
Minnesota Vikings,DEF,MIN,112.77,151.2,185
Justice Hill,RB,BAL,112.1,169.9,238
Travis Hunter,WR,JAX,111.79,160.5,193
Pittsburgh Steelers,DEF,PIT,111.71,156.6,182
Chad Ryland,K,ARI,111.66,,399
Malik Washington,WR,MIA,111.61,159.4,184
Gunnar Helm,TE,TEN,111.57,168.0,207
Dylan Sampson,RB,CLE,111.07,162.2,142
Seattle Seahawks,DEF,SEA,110.68,122.9,169
Germie Bernard,WR,PIT,109.24,171.0,235
Los Angeles Chargers,DEF,LAC,108.65,159.4,190
Ryan Fitzgerald,K,CAR,107.91,,411
Detroit Lions,DEF,DET,107.41,159.2,221
David Njoku,TE,LAC,107.41,168.5,250
Los Angeles Rams,DEF,LAR,107.27,108.7,168
Jordyn Tyson,WR,NO,106.78,124.7,132
Buffalo Bills,DEF,BUF,106.67,169.7,232
Shedeur Sanders,QB,CLE,106.28,170.2,293
Mike Gesicki,TE,CIN,106.08,,298
Jaylin Noel,WR,HOU,105.95,170.1,201
Atlanta Falcons,DEF,ATL,105.61,,283
Caleb Douglas,WR,MIA,104.85,165.8,241
MarShawn Lloyd,RB,GB,104.48,137.9,164
Antonio Williams,WR,WAS,104.12,171.1,239
Omar Cooper Jr.,WR,NYJ,103.12,166.9,174
Philadelphia Eagles,DEF,PHI,102.55,136.1,176
Dontayvion Wicks,WR,PHI,102.16,169.1,173
Baltimore Ravens,DEF,BAL,101.3,153.2,198
Mason Taylor,TE,NYJ,101.26,,276
Oronde Gadsden II,TE,LAC,101.07,154.9,203
Cleveland Browns,DEF,CLE,100.95,172.1,227
Chicago Bears,DEF,CHI,100.93,166.9,309
Mike Washington Jr.,RB,LV,100.86,129.8,163
New Orleans Saints,DEF,NO,100.51,,289
Troy Franklin,WR,DEN,100.25,,224
Darius Slayton,WR,NYG,100.13,,272
Jacksonville Jaguars,DEF,JAX,99.93,159.7,188
Cincinnati Bengals,DEF,CIN,99.58,,371
New England Patriots,DEF,NE,99.42,146.4,183
Chris Bell,WR,MIA,99.4,167.8,252
Tyler Allgeier,RB,ARI,98.53,138.2,134
Tory Horton,WR,SEA,97.47,,268
Tampa Bay Buccaneers,DEF,TB,97.28,,369
Braelon Allen,RB,NYJ,96.47,164.4,167
Samaje Perine,RB,CIN,96.13,171.1,263
Tennessee Titans,DEF,TEN,95.66,172.3,368
Chris Rodriguez Jr.,RB,JAX,95.59,131.4,136
Green Bay Packers,DEF,GB,95.12,168.9,211
Tyrone Tracy Jr.,RB,NYG,94.95,158.0,154
Indianapolis Colts,DEF,IND,94.34,,304
Ty Johnson,RB,BUF,94.32,,261
Washington Commanders,DEF,WAS,94.31,,401
Xavier Legette,WR,CAR,93.76,,277
Tyquan Thornton,WR,KC,92.96,,271
