RK,Player,Pos,Team,BYE,PTS,SoS Rank,ADP (Average),P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Stats),YPC (Stats),Rush (Stats),RUSH YDS (Stats),RUSH TD (Stats),REC (Stats),REC YDS (Stats),REC TD (Stats),YPR (Stats),Rec/Tar Game (Stats),PASS YDS (Stats),PASS TD (Stats),INT (Stats),CMP% (Stats),ATT/ GM (Stats),QB YPC (Stats),Auction $,Target Round
60,Quinshon Judkins,RB,CLE,11,234,7,51.1,RB25,4.0,302,1214,8,35,237,1,6.8,2.0/2.8,,,,,,,170,3.6,230,827,7,26,171,,6.6,1.9/2.6,,,,,,,18,7.00
61,Drake Maye,QB,NE,11,332,22,59.1,QB4,5.0,102,511,4,,,,,,4223,28,12,68%,31.1,11.7,352,4.4,103,450,4,1,2,,2.0,0.1/0.1,4394,31,8,72%,28.9,12.4,18,7.10
62,Joe Burrow,QB,CIN,6,312,12,60.4,QB5,3.6,45,161,1,,,,,,4305,35,11,68%,35.1,10.6,135,2.9,14,41,,,,,,,1809,17,5,67%,32.4,10.5,17,7.20
63,Rhamondre Stevenson,RB,NE,11,210,24,78.8,RB26,4.4,191,844,8,37,282,2,7.6,2.2/2.7,,,,,,,179,4.6,130,603,7,32,345,2,10.8,2.3/2.6,,,,,,,16,7.30
64,Jalen Hurts,QB,PHI,10,343,1,70.3,QB6,4.1,133,539,10,,,,,,3677,25,9,65%,28.9,11.3,299,4.0,105,421,8,,,,,,3224,25,6,65%,28.4,11.0,16,7.40
65,Christian Watson,WR,GB,11,190,12,61.5,WR30,5.9,3,20,,56,901,7,16.1,3.3/5.9,,,,,,,132,3.0,1,3,,35,611,6,17.5,3.5/5.5,,,,,,,15,7.50
66,TreVeyon Henderson,RB,NE,11,196,24,56.3,RB27,4.5,173,772,7,38,269,2,7.1,2.2/2.8,,,,,,,206,5.1,180,911,9,35,221,1,6.3,2.1/2.5,,,,,,,15,7.60
67,Carnell Tate,WR,TEN,9,176,7,65,WR31,,,,,61,849,5,13.9,3.6/6.1,,,,,,,,,,,,,,,,,,,,,,,14,7.70
68,Marvin Harrison Jr.,WR,ARI,14,207,18,69.8,WR32,,,,,71,1003,6,14.1,4.2/7.5,,,,,,,128,,,,,41,608,4,14.8,3.4/6.1,,,,,,,14,7.80
69,Tyler Warren,TE,IND,13,219,13,51.1,TE4,2.3,9,20,1,89,921,5,10.3,5.2/7.2,,,,,,,189,1.3,6,8,1,76,817,4,10.8,4.5/6.6,,,,,0.1,,14,7.90
70,Tony Pollard,RB,TEN,9,198,14,75.6,RB28,4.4,245,1078,6,30,183,1,6.2,1.7/2.3,,,,,,,186,4.5,242,1082,5,33,206,,6.2,1.9/2.4,,,,,,,14,8.00
71,Rome Odunze,WR,CHI,10,215,27,59.9,WR33,,,,,67,1063,7,15.9,3.9/8.0,,,,,,,146,,,,,44,661,6,15.0,3.7/7.5,,,,,,,14,8.10
72,Tucker Kraft,TE,GB,11,202,29,75.4,TE5,,,,,72,882,7,12.3,4.2/5.6,,,,,,,117,3.0,1,3,,32,489,6,15.3,4.0/5.5,,,,,,,14,8.20
73,Brian Thomas Jr.,WR,JAX,7,177,4,73,WR34,6.3,3,21,,58,864,5,14.9,3.4/6.2,,,,,,,139,7.0,3,21,1,48,707,2,14.7,3.4/6.5,,,,,,,13,8.30
74,Justin Herbert,QB,LAC,7,321,23,84.1,QB7,4.8,81,386,3,,,,,,4111,30,10,66%,32.8,11.1,287,6.0,83,498,2,,,,,,3727,26,13,66%,32.0,11.0,13,8.40
75,Rico Dowdle,RB,PIT,9,195,21,86.9,RB29,4.3,228,992,6,31,228,1,7.3,1.8/2.5,,,,,,,216,4.6,236,1076,6,39,297,1,7.6,2.3/2.9,,,,,,,12,8.50
76,DK Metcalf,WR,PIT,9,189,24,77.1,WR35,,,,,63,896,6,14.2,3.7/6.4,,,,,,,187,6.0,2,12,1,59,850,6,14.4,3.9/6.6,,,,,,,11,8.60
77,Caleb Williams,QB,CHI,10,316,30,75.8,QB8,5.5,74,401,3,,,,,,4197,27,9,61%,33.8,12.0,318,5.0,77,383,3,2,22,1,11.0,0.1/0.1,3942,27,7,58%,33.4,11.9,11,8.70
78,Jaylen Warren,RB,PIT,9,191,21,73,RB30,4.4,189,821,4,41,315,2,7.7,2.4/3.1,,,,,,,217,4.5,211,958,6,40,333,2,8.3,2.5/2.8,,,,,,,10,8.80
