RK,Player,Pos,Team,BYE,PTS,SoS Rank,ADP (Average),P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Stats),YPC (Stats),Rush (Stats),RUSH YDS (Stats),RUSH TD (Stats),REC (Stats),REC YDS (Stats),REC TD (Stats),YPR (Stats),Rec/Tar Game (Stats),PASS YDS (Stats),PASS TD (Stats),INT (Stats),CMP% (Stats),ATT/ GM (Stats),QB YPC (Stats),Auction $,Target Round
143,Isiah Pacheco,RB,DET,6,96,1,152,RB45,4.2,111,470,4,15,98,,6.6,0.9/1.2,,,,,,,87,3.9,118,462,1,19,101,1,5.3,1.5/2.0,,,,,,,4,15.30
144,Jauan Jennings,WR,MIN,6,142,2,170.4,WR60,,,,,56,619,4,11.1,3.3/5.2,,,,,,,173,,,,,55,643,9,11.7,3.7/6.0,,,,,,,3,15.40
145,Omar Cooper Jr.,WR,NYJ,13,130,23,162.4,WR61,5.8,2,10,,48,628,3,13.1,2.8/4.4,,,,,,,,,,,,,,,,,,,,,,,3,15.50
146,Hunter Henry,TE,NE,11,149,21,159.1,TE16,,,,,57,616,5,10.8,3.4/4.8,,,,,,,179,,,,,60,768,7,12.8,3.5/5.1,,,,,,,3,15.60
147,Brenton Strange,TE,JAX,7,141,7,151.1,TE17,,,,,57,603,4,10.6,3.4/4.9,,,,,,,118,,,,,46,540,3,11.7,3.8/5.0,,,,,,,3,15.70
148,Woody Marks,RB,HOU,8,128,11,141.3,RB46,4.1,136,551,3,23,196,2,8.5,1.4/2.0,,,,,,,151,3.6,196,703,3,24,208,3,8.7,1.5/2.3,,,,,,,3,15.80
149,Brandon Aubrey,K,DAL,14,184,,138,K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15.90
150,Denzel Boston,WR,CLE,11,131,5,157.1,WR62,,,,,51,622,3,12.1,3.0/5.1,,,,,,,,,,,,,,,,,,,,,,,3,16.00
151,Juwan Johnson,TE,NO,8,160,16,151.1,TE18,,,,,66,703,4,10.7,3.9/5.4,,,,,,,180,,,,,77,889,3,11.5,4.5/6.0,,,,,,,3,16.10
152,Tank Bigsby,RB,PHI,10,89,4,161.5,RB47,4.6,93,423,4,13,99,,7.6,0.8/1.1,,,,,,,54,5.7,63,356,2,3,32,,10.7,0.2/0.2,,,,,,,3,16.20
153,Chig Okonkwo,TE,WAS,7,126,25,150.6,TE19,,,,,50,513,4,10.2,3.0/4.1,,,,,,,124,,,,,56,560,2,10.0,3.3/4.6,,,,,,,3,16.30
154,Ryan Flournoy,WR,DAL,14,125,10,167.7,WR63,5.5,3,19,,46,533,4,11.7,2.7/3.9,,,,,,,114,6.2,4,25,,40,475,4,11.9,2.5/3.5,,,,,,,3,16.40
155,Jalen Nailor,WR,LV,13,119,32,162.9,WR64,5.7,2,10,,42,585,3,13.9,2.5/4.3,,,,,,,101,6.5,2,13,,29,444,4,15.3,1.7/3.1,,,,,,,3,16.50
156,Brian Robinson Jr.,RB,ATL,11,103,12,171.8,RB48,4.2,131,550,4,11,72,1,6.6,0.6/0.8,,,,,,,63,4.3,92,400,2,8,25,,3.1,0.5/0.7,,,,,,,3,16.60
157,Houston Texans,DST,HOU,8,185,,141,DST17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16.70
158,Cam Ward,QB,TEN,9,253,4,169.3,QB25,4.2,44,187,2,,,,,,3800,23,11,63%,33.5,10.5,187,4.1,39,159,2,,,,,,3169,15,7,60%,31.8,9.8,3,16.80
159,Tyler Allgeier,RB,ARI,14,95,25,153,RB49,3.9,112,440,4,16,108,,6.8,0.9/1.3,,,,,,,123,3.6,143,514,8,14,96,,6.9,0.8/0.9,,,,,,,3,16.90
160,Bryce Young,QB,CAR,5,267,21,182.6,QB26,4.8,59,282,2,,,,,,3859,24,12,64%,32.3,10.8,218,4.0,54,216,2,,,,,,3011,23,11,64%,29.9,9.9,3,17.00
161,Seattle Seahawks,DST,SEA,11,181,,157,DST17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17.10
162,Calvin Ridley,WR,TEN,9,144,7,198.9,WR65,5.5,5,28,,46,707,4,15.3,2.7/5.2,,,,,,,47,,,,,17,303,,17.8,2.4/5.1,,,,,,,2,17.20
163,Tre Tucker,WR,LV,13,133,32,165,WR66,5.6,12,67,,48,599,3,12.5,2.8/4.6,,,,,,,162,4.6,11,51,,57,696,5,12.2,3.4/5.4,,,,,,,2,17.30
164,Los Angeles Rams,DST,LAR,11,189,,148,DST17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17.40
165,Oronde Gadsden II,TE,LAC,7,111,22,167.1,TE20,,,,,44,490,3,11.1,2.6/3.5,,,,,,,131,,,,,49,664,3,13.6,3.3/4.6,,,,,,,2,17.50
166,T.J. Hockenson,TE,MIN,6,166,9,168.5,TE21,,,,,77,650,4,8.4,4.5/6.2,,,,,,,113,,1,,,51,438,3,8.6,3.4/4.4,,,,,,,2,17.60
167,Tyjae Spears,RB,TEN,9,143,14,154.8,RB50,4.1,97,399,2,47,318,2,6.8,2.8/3.4,,,,,,,112,3.9,72,283,2,45,264,,5.9,3.5/3.8,,,,,,,2,17.70
168,Ka'imi Fairbairn,K,HOU,8,178,,165.4,K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17.80
169,Terrance Ferguson,TE,LAR,11,149,15,189.9,TE22,,,,,46,665,6,14.5,2.7/4.6,,,,,,,52,,1,,,11,231,3,21.0,0.8/1.8,,,,,,,2,17.90
170,Cam Little,K,JAX,7,171,,178.2,K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18.00
171,Denver Broncos,DST,DEN,10,177,,164,DST17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18.10
172,Jerry Jeudy,WR,CLE,11,147,5,178.4,WR67,,,,,53,701,4,13.2,3.1/5.8,,,,,,,121,5.0,1,5,,50,602,2,12.0,2.9/6.2,,,,,,,2,18.20
173,Jaydon Blue,RB,DAL,14,60,5,173,RB51,4.2,69,285,3,8,57,,7.0,0.5/0.6,,,,,,,20,3.4,38,129,1,1,5,,5.0,0.2/0.2,,,,,,,2,18.30
174,Jonah Coleman,RB,DEN,10,53,29,159.4,RB52,4.3,44,191,1,16,120,,7.7,0.9/1.3,,,,,,,,,,,,,,,,,,,,,,,2,18.40
175,Dalton Schultz,TE,HOU,8,144,11,181.8,TE23,,,,,61,591,4,9.7,3.6/4.9,,,,,,,178,,,,,82,777,3,9.5,4.8/6.2,,,,,,,2,18.50
176,Aaron Rodgers,QB,PIT,9,248,25,201,QB27,3.1,24,74,1,,,,,,3962,24,10,65%,33.9,10.5,227,2.9,21,61,1,1,-9,,-9.0,0.1/0.1,3322,24,7,66%,31.1,10.2,2,18.60
177,Pat Freiermuth,TE,PIT,9,157,12,199.5,TE24,,,,,62,654,5,10.5,3.6/5.1,,,,,,,114,,,,,41,486,4,11.9,2.4/3.2,,,,,,,2,18.70
178,Isaac TeSlaa,WR,DET,6,94,14,177.5,WR68,,,,,30,403,4,13.4,1.8/3.0,,,,,,,76,,,,,16,239,6,14.9,0.9/1.6,,,,,,,2,18.80
179,Jason Myers,K,SEA,11,172,,164,K4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18.90
180,Alvin Kamara,RB,NO,8,131,3,151.4,RB53,3.9,128,504,2,38,245,1,6.4,2.2/2.8,,,,,,,101,3.6,131,471,1,33,186,,5.6,3.0/3.5,,,,,,,2,19.00
181,Cameron Dicker,K,LAC,7,165,,166.2,K5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19.10
182,Adonai Mitchell,WR,NYJ,13,111,23,180,WR69,4.8,3,16,,39,519,3,13.3,2.3/4.1,,,,,,,90,-4.0,1,-4,,33,453,2,13.7,2.1/4.6,,,,,,,2,19.20
183,Dylan Sampson,RB,CLE,11,91,7,161.9,RB54,4.1,65,264,1,31,221,1,7.2,1.8/2.4,,,,,,,88,2.7,65,175,,33,271,2,8.2,2.2/2.7,,,,,,,2,19.30
184,Sean Tucker,RB,TB,10,45,18,206.3,RB55,4.1,53,218,3,3,17,,5.5,0.2/0.2,,,,,,,91,3.7,86,320,7,8,34,1,4.2,0.5/0.6,,,,,,,2,19.40
185,Tre Harris,WR,LAC,7,113,31,170.2,WR70,,,,,40,487,4,12.2,2.4/4.0,,,,,,,,,,,,,,,,,,,,,,,2,19.50
186,Travis Hunter,WR,JAX,7,92,4,167.7,WR71,5.9,3,20,,36,416,2,11.6,2.1/3.4,,,,,,,64,,1,,,28,298,1,10.6,4.0/6.4,,,,,,,1,19.60
187,Rashod Bateman,WR,BAL,13,127,19,219.7,WR72,,,,,41,622,4,15.2,2.4/4.4,,,,,,,55,,,,,19,224,2,11.8,1.5/2.9,,,,,,,1,19.70
188,Greg Dulcich,TE,MIA,6,152,28,181.1,TE25,,,,,61,670,4,11.0,3.6/5.1,,,,,,,63,-7.0,1,-7,,26,335,1,12.9,2.6/3.3,,,,,,,1,19.80
189,Ray Davis,RB,BUF,7,65,30,181.5,RB56,4.2,63,266,2,11,90,1,8.2,0.6/0.8,,,,,,,58,4.7,58,275,,10,86,2,8.6,0.6/0.8,,,,,,,1,19.90
190,Germie Bernard,WR,PIT,9,107,24,223.2,WR73,,,,,44,448,3,10.2,2.6/4.2,,,,,,,,,,,,,,,,,,,,,,,1,20.00
191,Jacoby Brissett,QB,ARI,14,186,15,202.8,QB28,4.4,34,149,1,,,,,,3026,16,10,64%,34.1,10.8,227,4.4,38,168,1,,,,,,3366,23,8,65%,34.6,10.7,1,20.10
192,Gunnar Helm,TE,TEN,9,114,8,198.8,TE26,,,,,52,445,3,8.6,3.0/4.3,,,,,,,92,,,,,44,357,2,8.1,2.8/3.4,,,,,,,1,20.20
193,MarShawn Lloyd,RB,GB,11,69,17,176.7,RB57,4.1,88,357,3,9,65,,7.2,0.5/0.8,,,,,,,,2.5,6,,,1,,,3.0,1.0/1.0,,,,,,,1,20.30
194,Kenyon Sadiq,TE,NYJ,13,147,31,168.1,TE27,,,,,61,616,4,10.1,3.6/4.8,,,,,,,,,,,,,,,,,,,,,,,1,20.40
195,Samaje Perine,RB,CIN,6,109,27,242.4,RB58,4.4,98,432,3,25,175,1,7.1,1.4/1.8,,,,,,,78,4.5,84,382,3,17,87,,5.1,1.1/1.4,,,,,,,1,20.50
196,Cade Otton,TE,TB,10,101,32,201,TE28,,,,,45,441,2,9.9,2.6/3.7,,,,,,,122,,,,,59,572,1,9.7,3.7/5.1,,,,,,,1,20.60
197,Minnesota Vikings,DST,MIN,6,164,,191,DST17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.70
198,Pat Bryant,WR,DEN,10,85,29,234.5,WR74,,,,,33,396,2,12.0,1.9/3.4,,,,,,,75,,,,,31,378,1,12.2,2.1/3.3,,,,,,,1,20.80
199,Tank Dell,WR,HOU,8,113,3,181.9,WR75,5.0,7,34,,41,510,3,12.5,2.4/3.9,,,,,,,,4.8,9,,,51,,,13.1,3.6/5.8,,,,,,,1,20.90
200,Fernando Mendoza,QB,LV,13,134,32,208.9,QB29,4.2,27,113,2,,,,,,2026,12,9,63%,33.2,10.7,,,,,,,,,,,,,,,,,1,21.00
201,Cooper Kupp,WR,SEA,11,94,13,210.6,WR76,,,,,36,404,3,11.2,2.1/3.3,,,,,,,116,,,,,47,593,2,12.6,2.9/4.4,,,1,,0.1,,1,21.10
202,Jacksonville Jaguars,DST,JAC,7,152,,188,DST17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21.20
203,Pittsburgh Steelers,DST,PIT,9,152,,190,DST17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21.30
204,Zachariah Branch,WR,ATL,11,96,15,199.7,WR77,,,,,42,483,1,11.5,2.5/3.9,,,,,,,,,,,,,,,,,,,,,,,1,21.40
205,Kayshon Boutte,WR,NE,11,94,28,205.3,WR78,,,,,32,437,3,13.7,1.9/2.8,,,,,,,124,,,,,33,551,6,16.7,2.4/3.3,,,,,,,1,21.50
206,Jordan James,RB,SF,8,47,15,211.3,RB59,4.2,68,284,1,7,52,,7.4,0.4/0.6,,,,,,,,,,,,,,,,,,,,,,,1,21.60
207,Zach Charbonnet,RB,SEA,11,139,6,144.4,RB60,4.1,146,597,7,18,137,1,7.6,1.5/2.0,,,,,,,181,4.0,184,730,12,20,144,,7.2,1.3/1.5,,,,,,,1,21.70
208,Los Angeles Chargers,DST,LAC,7,163,,197,DST17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21.80
209,Baltimore Ravens,DST,BAL,13,153,,201,DST17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21.90
210,AJ Barner,TE,SEA,11,127,17,185.3,TE29,2.6,9,22,1,47,473,4,10.0,2.8/3.9,,,,,,,147,1.4,10,14,1,52,519,6,10.0,3.1/4.0,,,,,,,1,22.00
211,Mike Gesicki,TE,CIN,6,112,4,231,TE30,,,,,44,443,4,10.1,2.6/3.8,,,,,,,71,,,,,28,307,2,11.0,2.2/3.2,,,,,,,1,22.10
212,Tua Tagovailoa,QB,ATL,11,141,14,224.8,QB30,2.6,11,29,,,,,,,2494,14,9,68%,31.7,10.5,161,2.2,20,43,,,,,,,2660,20,15,68%,27.4,10.2,1,22.20
213,Colby Parkinson,TE,LAR,11,98,15,216.2,TE31,,,,,37,372,4,10.1,2.2/3.1,,,,,,,130,,,,,43,408,8,9.5,2.9/3.7,,,,,,,1,22.30
214,Keenan Allen,WR,FA,,125,,241.3,WR79,,,,,50,515,4,10.4,2.9/4.4,,,,,,,183,,,,,81,777,4,9.6,4.8/7.2,,,,,,,1,22.40
215,Jaylin Noel,WR,HOU,8,67,3,252.7,WR80,5.5,5,28,,25,275,2,11.0,1.5/2.3,,,,,,,68,2.0,6,12,,26,292,2,11.2,1.5/2.1,,,,,,,1,22.50
216,Emmett Johnson,RB,KC,5,56,22,195.7,RB61,4.2,57,242,2,11,84,,7.5,0.7/0.9,,,,,,,,,,,,,,,,,,,,,,,1,22.60
217,Kaytron Allen,RB,WAS,7,16,2,203.5,RB62,4.2,27,113,,3,21,,7.0,0.2/0.2,,,,,,,,,,,,,,,,,,,,,,,1,22.70
218,Seth McGowan,RB,IND,13,38,13,353,RB63,4.1,38,156,1,10,70,,7.1,0.6/0.7,,,,,,,,,,,,,,,,,,,,,,,1,22.80
219,Malik Washington,WR,MIA,6,118,22,185.7,WR81,5.9,15,90,1,48,432,2,9.1,2.8/4.1,,,,,,,111,6.5,17,110,1,46,317,3,6.9,2.7/3.8,,,,,,,1,22.90
220,Troy Franklin,WR,DEN,10,50,29,229.2,WR82,5.2,3,18,,16,200,2,12.4,0.9/1.5,,,,,,,177,2.4,5,12,,65,709,6,10.9,3.8/6.1,,,,,,,1,23.00
221,Dontayvion Wicks,WR,PHI,10,78,1,191.5,WR83,,,,,30,363,2,12.1,1.8/3.0,,,,,,,76,6.0,1,6,,30,332,2,11.1,2.1/3.3,,,,,,,1,23.10
222,Mack Hollins,WR,NE,11,52,28,394,WR84,,,,,21,252,1,12.0,1.2/1.9,,,,,,,113,4.0,1,4,,46,550,2,12.0,3.1/4.3,,,,,,,1,23.20
223,Justice Hill,RB,BAL,13,101,19,211.1,RB64,4.6,45,210,1,36,318,1,8.8,2.1/2.9,,,,,,,65,5.2,18,93,2,21,169,1,8.0,2.1/2.7,,,,,,,1,23.30
224,Devaughn Vele,WR,NO,8,68,6,292.4,WR85,,,,,27,294,2,10.9,1.6/2.5,,,,,,,66,,,,,25,293,2,11.7,1.9/3.0,,,,,,,1,23.40
225,Braelon Allen,RB,NYJ,13,93,23,196.4,RB65,4.2,103,434,4,15,108,,7.4,0.9/1.1,,,,,,,15,4.2,18,76,1,2,17,,8.5,0.5/0.8,,,,,,,1,23.50
226,Darnell Mooney,WR,NYG,8,64,9,212.7,WR86,,,,,23,288,2,12.5,1.4/2.6,,,,,,,82,,,,,32,443,1,13.8,2.1/4.8,,,,,,,1,23.60
227,Malachi Fields,WR,NYG,8,81,9,238.8,WR87,,,,,32,365,2,11.4,1.9/3.1,,,,,,,,,,,,,,,,,,,,,,,1,23.70
228,Emanuel Wilson,RB,SEA,11,26,6,243,RB66,4.2,33,138,,7,48,,6.9,0.4/0.6,,,,,,,95,4.0,125,496,3,15,99,,6.6,0.9/1.0,,,,,,,1,23.80
229,Jalen Tolbert,WR,MIA,6,97,22,272.8,WR88,,,,,42,431,2,10.3,2.5/4.2,,,,,,,46,,,,,18,203,1,11.3,1.4/2.6,,,,,,,1,23.90
230,Kendrick Bourne,WR,ARI,14,60,18,330.5,WR89,,,,,23,248,2,10.8,1.4/2.2,,,,,,,92,,,,,37,551,,14.9,2.3/3.3,,,,,,,1,24.00
231,Mike Washington Jr.,RB,LV,13,64,32,195.3,RB67,4.1,84,342,2,10,73,,7.3,0.6/0.8,,,,,,,,,,,,,,,,,,,,,,,1,24.10
232,Geno Smith,QB,NYJ,13,230,31,216.8,QB31,3.8,53,203,1,,,,,,3840,19,13,67%,31.9,10.6,174,2.7,41,109,,,,,,,3025,19,17,67%,29.9,10.0,1,24.20
233,Andrei Iosivas,WR,CIN,6,84,8,286.8,WR90,,,,,29,367,3,12.7,1.7/2.9,,,,,,,90,4.7,3,14,,33,435,2,13.2,1.9/3.4,,,,,,,1,24.30
234,Ted Hurst,WR,TB,10,58,11,223.4,WR91,,,,,20,265,2,13.6,1.1/1.8,,,,,,,,,,,,,,,,,,,,,,,1,24.40
235,Demond Claiborne,RB,MIN,6,27,10,222.8,RB68,4.3,33,142,1,4,24,,6.0,0.2/0.3,,,,,,,,,,,,,,,,,,,,,,,1,24.50
236,Chimere Dike,WR,TEN,9,65,7,292,WR92,5.2,12,62,,23,238,2,10.3,1.4/2.1,,,,,,,114,1.6,11,18,,48,423,4,8.8,2.8/4.4,,,,,,,1,24.60
237,Jack Bech,WR,LV,13,94,32,262.5,WR93,,,,,38,440,2,11.6,2.2/3.6,,,,,,,42,,,,,20,224,,11.2,1.3/1.8,,,,,,,1,24.70
238,Kalif Raymond,WR,CHI,10,50,27,279,WR94,5.8,3,20,,21,214,1,10.2,1.2/1.8,,,,,,,61,9.5,2,19,,24,289,1,12.0,1.6/2.0,,,,,,,1,24.80
239,Kaelon Black,RB,SF,8,34,15,209.7,RB69,4.1,45,185,1,5,40,,7.4,0.3/0.4,,,,,,,,,,,,,,,,,,,,,,,1,24.90
240,Antonio Williams,WR,WAS,7,61,16,198,WR95,5.0,3,15,,21,262,2,12.5,1.2/2.0,,,,,,,,5.2,12,,,1,,,20.0,1.0/1.0,,,,,,,1,25.00
241,Christian Kirk,WR,SF,8,52,26,237.7,WR96,,,,,20,262,1,13.0,1.2/1.9,,,,,,,58,,,,,28,239,1,8.5,2.2/4.0,,,,,,,1,25.10
242,Michael Mayer,TE,LV,13,95,18,331.5,TE32,,,,,42,406,2,9.7,2.5/3.6,,,,,,,74,,,,,35,328,1,9.4,2.7/3.8,,,,,,,1,25.20
243,Nicholas Singleton,RB,TEN,9,22,14,205.8,RB70,4.2,25,105,1,3,22,,7.3,0.2/0.2,,,,,,,,,,,,,,,,,,,,,,,1,25.30
244,Eddy Pineiro,K,SF,8,151,,203,K6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.40
245,David Njoku,TE,LAC,7,70,22,219.8,TE33,,,,,26,266,3,10.4,1.5/2.1,,,,,,,86,,,,,33,293,4,8.9,2.8/4.0,,,,,,,1,25.50
246,Ty Johnson,RB,BUF,7,74,30,267.8,RB71,4.2,38,159,1,20,195,2,9.8,1.2/1.6,,,,,,,100,4.0,50,200,3,24,263,2,11.0,1.4/1.9,,,,,,,1,25.60
247,Evan Engram,TE,DEN,10,95,20,223,TE34,,,,,43,400,2,9.3,2.5/3.7,,,,,,,103,7.0,1,7,,50,461,1,9.2,3.1/4.8,,,,,,,1,25.70
248,Darius Slayton,WR,NYG,8,74,9,330.5,WR97,,,,,26,357,2,13.7,1.5/2.8,,,,,,,99,,,,,37,538,1,14.5,2.6/4.5,,,,,,,1,25.80
249,Darnell Washington,TE,PIT,9,80,12,249.4,TE35,,,,,32,363,2,11.3,1.9/2.8,,,,,,,73,,,,,31,364,1,11.7,1.9/2.7,,,,,,,1,25.90
250,Jahan Dotson,WR,ATL,11,88,15,282.8,WR98,,,,,33,428,2,13.0,1.9/3.6,,,,,,,50,,,,,18,262,1,14.6,1.1/2.1,,,,,,,1,26.00
251,Chris Brooks,RB,GB,11,44,17,301,RB72,4.2,24,100,1,13,92,1,7.1,0.8/1.1,,,,,,,33,3.9,27,106,,13,91,,7.0,0.8/1.0,,,,,,,1,26.10
252,Deshaun Watson,QB,CLE,11,102,2,265.2,QB32,4.3,22,94,1,,,,,,1662,8,6,62%,28.8,10.3,,4.8,31,,,,,,,,,,,,30.9,8.4,1,26.20
253,Kimani Vidal,RB,LAC,7,39,28,200.7,RB73,4.1,42,173,1,9,64,,7.1,0.5/0.8,,,,,,,118,4.1,155,643,3,16,136,1,8.5,1.2/1.7,,,,,,,1,26.30
254,Tyler Loop,K,BAL,13,155,,200.8,K7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26.40
255,Tory Horton,WR,SEA,11,71,13,248.2,WR99,,,,,24,352,2,14.7,1.4/2.5,,,,,,,59,,,,,13,161,5,12.4,1.6/2.8,,,,,,,1,26.50
256,Philadelphia Eagles,DST,PHI,10,150,,181,DST17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26.60
257,Dawson Knox,TE,BUF,7,56,24,279.4,TE36,,,,,21,228,2,10.8,1.2/1.9,,,,,,,104,,,,,36,417,4,11.6,2.1/2.9,,,,,,,1,26.70
258,Joshua Palmer,WR,BUF,7,42,21,322,WR100,,,,,16,196,1,12.3,0.9/1.6,,,,,,,52,,,,,22,303,,13.8,1.8/3.1,,,,,,,1,26.80
259,Caleb Douglas,WR,MIA,6,132,22,254.6,WR101,,,,,49,652,3,13.2,2.9/4.8,,,,,,,,,,,,,,,,,,,,,,,1,26.90
260,Marquise Brown,WR,PHI,10,29,1,290.5,WR102,,,,,11,121,1,11.0,0.6/1.1,,,,,,,138,,,,,49,587,5,12.0,3.1/4.6,,,,,,,1,27.00
261,KaVontae Turpin,WR,DAL,14,56,10,253,WR103,5.9,17,100,,15,191,2,13.0,0.9/1.4,,,,,,,85,5.2,17,89,,26,396,2,15.2,1.7/2.5,,,,,,,1,27.10
262,Marvin Mims Jr.,WR,DEN,10,62,29,236,WR104,4.9,5,25,,22,252,2,11.5,1.3/1.7,,,,,,,87,6.5,12,78,1,37,322,1,8.7,2.5/3.4,,,,,,,1,27.20
263,Chris Boswell,K,PIT,9,144,,236.8,K8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27.30
264,Elic Ayomanor,WR,TEN,9,51,7,319.5,WR105,,,,,17,218,2,12.7,1.0/1.9,,,,,,,117,,,,,41,515,4,12.6,2.6/5.6,,,,,,,1,27.40
265,Will Reichard,K,MIN,6,152,,228.8,K9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27.50
266,Tyquan Thornton,WR,KC,5,91,30,250.4,WR106,,,,,29,439,3,15.1,1.7/3.2,,,,,,,81,,,,,19,438,3,23.1,1.4/2.6,,,,,,,1,27.60
267,Ja'Kobi Lane,WR,BAL,13,73,19,214.2,WR107,,,,,25,356,2,14.2,1.5/2.7,,,,,,,,,,,,,,,,,,,,,,,1,27.70
268,Jake Bates,K,DET,6,160,,193.6,K10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27.80
269,Treylon Burks,WR,WAS,7,63,16,313,WR108,,,,,22,292,2,13.3,1.3/2.3,,,,,,,29,,,,,10,130,1,13.0,1.3/2.8,,,,,,,1,27.90
270,Xavier Legette,WR,CAR,5,91,20,410,WR109,5.0,2,9,,35,375,3,10.7,2.1/3.9,,,,,,,89,,1,,,35,363,3,10.4,2.3/4.3,,,,,,,1,28.00
271,Tez Johnson,WR,TB,10,25,11,389,WR110,5.9,3,20,,8,90,1,11.7,0.5/0.7,,,,,,,92,3.1,7,22,,28,322,5,11.5,1.8/2.8,,,,,,,1,28.10
272,Chicago Bears,DST,CHI,10,151,,209,DST17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28.20
273,Keon Coleman,WR,BUF,7,59,21,243.2,WR111,,,,,20,269,2,13.4,1.2/2.1,,,,,,,102,,,,,38,404,4,10.6,2.9/4.5,,,,,,,1,28.30
274,Jaylen Wright,RB,MIA,6,50,20,236.8,RB74,4.1,51,211,2,10,72,,7.2,0.6/0.8,,,,,,,48,4.1,70,288,2,5,44,,8.8,0.5/0.9,,,,,,,1,28.40
275,Noah Gray,TE,KC,5,60,14,377,TE37,,,,,27,266,1,9.7,1.6/2.4,,,,,,,39,,,,,21,178,,8.5,1.3/2.3,,,,,,,1,28.50
276,New England Patriots,DST,NE,11,149,,178,DST17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28.60
277,Cole Kmet,TE,CHI,10,78,30,395,TE38,,,,,29,309,3,10.7,1.7/2.5,,,,,,,79,,,,,30,347,2,11.6,1.9/3.0,,,,,0.1,,1,28.70
278,DJ Giddens,RB,IND,13,16,13,268.2,RB75,4.1,19,78,,5,34,,6.6,0.3/0.4,,,,,,,10,3.7,26,96,,,,,,—/0.2,,,,,,,1,28.80
279,Skyler Bell,WR,BUF,7,24,21,290.3,WR112,,,,,8,104,1,13.3,0.5/0.8,,,,,,,,,,,,,,,,,,,,,,,1,28.90
280,Najee Harris,RB,FA,,66,,330.5,RB76,4.0,68,272,2,15,116,,7.5,0.9/1.2,,,,,,,12,4.1,15,61,,3,25,,8.3,1.0/1.0,,,,,,,1,29.00
281,George Holani,RB,SEA,11,26,6,214.8,RB77,4.1,37,150,,7,45,,6.8,0.4/0.5,,,,,,,15,3.3,22,73,1,2,15,,7.5,0.2/0.2,,,,,,,1,29.10
282,James Conner,RB,ARI,14,51,25,210.7,RB78,4.0,70,277,2,7,46,,6.6,0.4/0.6,,,,,,,33,3.0,32,95,1,8,38,1,4.8,2.7/3.0,,,,,,,1,29.20
283,Kirk Cousins,QB,LV,13,102,32,249.6,QB33,1.7,9,14,,,,,,,1875,10,7,66%,34.8,10.2,104,0.5,14,7,1,,,,,,1721,10,5,62%,24.5,10.4,1,29.30
284,Chris Bell,WR,MIA,6,104,22,256.4,WR113,,,,,35,567,2,16.0,2.1/3.5,,,,,,,,,,,,,,,,,,,,,,,1,29.40
285,Theo Johnson,TE,NYG,8,75,6,281.4,TE39,,,,,30,326,2,10.8,1.8/2.6,,,,,,,128,,,,,45,528,5,11.7,3.0/4.9,,,,,,,1,29.50
286,Dallas Cowboys,DST,DAL,14,115,,240,DST17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29.60
287,Shedeur Sanders,QB,CLE,11,126,2,231.7,QB34,5.1,25,128,1,,,,,,2068,9,6,62%,29.8,11.1,85,8.0,21,169,1,,,,,,1400,7,10,57%,26.5,11.7,1,29.70
288,Isaiah Davis,RB,NYJ,13,37,23,273.4,RB79,4.7,29,134,1,10,76,,7.6,0.6/0.8,,,,,,,71,5.5,43,236,1,21,186,,8.9,1.3/1.8,,,,,,,1,29.80
289,Kansas City Chiefs,DST,KC,5,125,,225,DST17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29.90
290,Harrison Butker,K,KC,5,149,,223.4,K11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30.00
291,New York Giants,DST,NYG,8,133,,233,DST17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30.10
