player_name,position,team,projected_points,adp
Juwan Johnson,TE,NO,160,151.1
Wan'dale Robinson,WR,TEN,159,102.6
Pat Freiermuth,TE,PIT,157,199.5
Romeo Doubs,WR,NE,157,127.3
Tyler Loop,K,BAL,155,200.8
Jalen McMillan,WR,TB,154,158.0
Baltimore Ravens,DEF,BAL,153,201.0
Rashid Shaheed,WR,SEA,153,141.0
Will Reichard,K,MIN,152,228.8
Greg Dulcich,TE,MIA,152,181.1
Jacksonville Jaguars,DEF,JAX,152,188.0
Pittsburgh Steelers,DEF,PIT,152,190.0
Eddy Pineiro,K,SF,151,203.0
Chicago Bears,DEF,CHI,151,209.0
Philadelphia Eagles,DEF,PHI,150,181.0
Harrison Mevis,K,LAR,150,198.8
Chase McLaughlin,K,TB,150,233.2
New England Patriots,DEF,NE,149,178.0
Harrison Butker,K,KC,149,223.4
Terrance Ferguson,TE,LAR,149,189.9
Jonathon Brooks,RB,CAR,149,90.9
Hunter Henry,TE,NE,149,159.1
Jerry Jeudy,WR,CLE,147,178.4
Kenyon Sadiq,TE,NYJ,147,168.1
Buffalo Bills,DEF,BUF,146,223.0
Jayden Higgins,WR,HOU,145,129.6
Calvin Ridley,WR,TEN,144,198.9
Dalton Schultz,TE,HOU,144,181.8
Chris Boswell,K,PIT,144,236.8
Tyjae Spears,RB,TEN,143,154.8
Jauan Jennings,WR,MIN,142,170.4
Tua Tagovailoa,QB,ATL,141,224.8
Brenton Strange,TE,JAX,141,151.1
Jordan Mason,RB,MIN,140,113.6
Jacory Croskey-Merritt,RB,WAS,140,113.9
Zach Charbonnet,RB,SEA,139,144.4
Fernando Mendoza,QB,LV,134,208.9
Makai Lemon,WR,PHI,133,99.8
Tre Tucker,WR,LV,133,165.0
New York Giants,DEF,NYG,133,233.0
Caleb Douglas,WR,MIA,132,254.6
Alvin Kamara,RB,NO,131,151.4
Denzel Boston,WR,CLE,131,157.1
Omar Cooper Jr.,WR,NYJ,130,162.4
Woody Marks,RB,HOU,128,141.3
AJ Barner,TE,SEA,127,185.3
Rashod Bateman,WR,BAL,127,219.7
San Francisco 49ers,DEF,SF,126,238.0
Chig Okonkwo,TE,WAS,126,150.6
Shedeur Sanders,QB,CLE,126,231.7
Ryan Flournoy,WR,DAL,125,167.7
Keenan Allen,WR,FA,125,241.3
Kansas City Chiefs,DEF,KC,125,225.0
Jalen Nailor,WR,LV,119,162.9
Malik Washington,WR,MIA,118,185.7
Dallas Cowboys,DEF,DAL,115,240.0
Gunnar Helm,TE,TEN,114,198.8
Keaton Mitchell,RB,LAC,113,137.7
Tank Dell,WR,HOU,113,181.9
Tre Harris,WR,LAC,113,170.2
Mike Gesicki,TE,CIN,112,231.0
Adonai Mitchell,WR,NYJ,111,180.0
Oronde Gadsden II,TE,LAC,111,167.1
Samaje Perine,RB,CIN,109,242.4
Tyreek Hill,WR,FA,108,245.7
Brandon Aiyuk,WR,SF,108,258.2
Germie Bernard,WR,PIT,107,223.2
Chris Bell,WR,MIA,104,256.4
Brian Robinson Jr.,RB,ATL,103,171.8
Deshaun Watson,QB,CLE,102,265.2
Kirk Cousins,QB,LV,102,249.6
Justice Hill,RB,BAL,101,211.1
Cade Otton,TE,TB,101,201.0
Tyrone Tracy Jr.,RB,NYG,101,137.3
De'Zhaun Stribling,WR,SF,100,160.9
Colby Parkinson,TE,LAR,98,216.2
